Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20201501015,AUTO THEFT,700,N,05/29/2020 02:20:00 AM,05/29/2020,220,05/29/2020 04:54:00 PM,05/29/2020,1654,PARKING LOTS / GARAGE,2501 NUECES ST,78705,9,BA,1,360,,N,06/15/2020,240,Auto Theft,3114141,3114141,30.28931875,-97.74278133,"(30.28931875, -97.74278133)"
20191000870,COUNTERFEITING,1006,N,04/10/2019 12:46:00 PM,04/10/2019,1246,04/10/2019 12:46:00 PM,04/10/2019,1246,DRUG STORE / DR. OFFICE / HOSPITAL,720 W 34TH ST,78705,9,BA,3,345,2,N,04/18/2019,,,3114134,3114134,30.30183196,-97.74246763,"(30.30183196, -97.74246763)"
20193451887,DWI,2100,N,12/11/2019 11:30:00 PM,12/11/2019,2330,12/11/2019 11:30:00 PM,12/11/2019,2330,STREETS / HWY / ROAD / ALLEY,500 W 34TH ST,78705,9,BA,1,346,,C,12/12/2019,,,3115317,3115317,30.30006561,-97.73876544,"(30.30006561, -97.73876544)"
20205037513,HARASSMENT,2703,N,09/01/2020 09:00:00 AM,09/01/2020,900,09/19/2020 06:57:00 PM,09/19/2020,1857,RESIDENCE / HOME,3209 HAMPTON RD,78705,9,BA,1,348,4,N,12/03/2020,,,3118926,3118926,30.29207095,-97.72754229,"(30.29207095, -97.72754229)"
2020171554,THEFT,600,N,01/17/2020 07:22:00 PM,01/17/2020,1922,01/17/2020 08:59:00 PM,01/17/2020,2059,PARKING LOTS / GARAGE,3408 SPEEDWAY,78705,9,BA,1,346,5,N,01/21/2020,23H,Theft,3116501,3116501,30.29895332,-97.73504261,"(30.29895332, -97.73504261)"
20195003785,BURGLARY OF VEHICLE,601,N,01/26/2019 08:30:00 PM,01/26/2019,2030,01/27/2019 02:09:00 PM,01/27/2019,1409,PARKING LOTS / GARAGE,409 W 30TH ST,78705,9,BA,1,361,6,N,01/29/2019,23F,Theft,3114647,3114647,30.29579286,-97.74100382,"(30.29579286, -97.74100382)"
20205047711,CRIMINAL MISCHIEF,1400,N,11/14/2020 02:00:00 AM,11/14/2020,200,11/23/2020 09:58:00 AM,11/23/2020,958,OTHER / UNKNOWN,2214 SAN ANTONIO ST,78705,9,BA,1,359,,N,11/24/2020,,,3114096,3114096,30.28637486,-97.74300295,"(30.28637486, -97.74300295)"
20205013735,THEFT OF AUTO PARTS,604,N,03/23/2020 05:00:00 AM,03/23/2020,500,04/07/2020 12:00:00 PM,04/07/2020,1200,COMMERCIAL / OFFICE BUILDING,311 E 31ST ST,78705,9,BA,1,346,5,N,04/08/2020,23G,Theft,3116673,3116673,30.29310097,-97.73465503,"(30.29310097, -97.73465503)"
2020460011,DWI  .15 BAC OR ABOVE,2111,N,02/15/2020 12:05:00 AM,02/15/2020,5,02/15/2020 12:05:00 AM,02/15/2020,5,STREETS / HWY / ROAD / ALLEY,1000 W 24TH ST,78705,9,BA,3,356,,C,02/15/2020,,,3112321,3112321,30.28830262,-97.74857652,"(30.28830262, -97.74857652)"
20191001617,DISTURBANCE - OTHER,3401,N,04/10/2019 06:00:00 PM,04/10/2019,1800,04/10/2019 06:33:00 PM,04/10/2019,1833,STREETS / HWY / ROAD / ALLEY,W 25TH ST / SAN GABRIEL ST,78705,9,BA,3,356,,N,04/20/2019,,,3112594,3112594,30.28944244,-97.7476808,"(30.28944244, -97.7476808)"
