Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20208000430,THEFT OF BICYCLE,609,N,01/24/2020 06:00:00 PM,01/24/2020,1800,01/25/2020 10:57:00 AM,01/25/2020,1057,RESIDENCE / HOME,3305 GROOMS ST,78705,9,BA,1,346,,N,01/30/2020,23H,Theft,3116942,3116942,30.29697056,-97.73369825,"(30.29697056, -97.73369825)"
2020690776,THEFT,600,N,03/09/2020 11:00:00 AM,03/09/2020,1100,03/09/2020 12:53:00 PM,03/09/2020,1253,RESTAURANTS,2000 GUADALUPE ST,78705,9,BA,1,359,,N,03/11/2020,23H,Theft,3114317,3114317,30.28284219,-97.7423974,"(30.28284219, -97.7423974)"
20202751169,FAMILY DISTURBANCE,3400,N,10/01/2020 08:04:00 PM,10/01/2020,2004,10/01/2020 08:04:00 PM,10/01/2020,2004,HOTEL / MOTEL / ETC.,2900 N IH 35 SVRD SB,78705,9,BA,1,348,,N,10/05/2020,,,3119758,3119758,30.28748175,-97.72502943,"(30.28748175, -97.72502943)"
20208004754,THEFT OF BICYCLE,609,N,10/07/2020 05:03:00 PM,10/07/2020,1703,10/08/2020 12:03:00 PM,10/08/2020,1203,RESIDENCE / HOME,911 W 21ST ST,78705,9,BA,2,358,,N,10/09/2020,23H,Theft,3112701,3112701,30.28467734,-97.74746935,"(30.28467734, -97.74746935)"
20205012854,FRAUD - OTHER,1199,N,03/28/2020 12:00:00 PM,03/28/2020,1200,03/31/2020 11:46:00 AM,03/31/2020,1146,RESIDENCE / HOME,2501 PEARL ST,78705,9,BA,3,356,,N,03/31/2020,,,3113050,3113050,30.28958372,-97.74623184,"(30.28958372, -97.74623184)"
2020931098,CRIMINAL TRESPASS,2716,N,04/02/2020 09:22:00 PM,04/02/2020,2122,04/02/2020 09:22:00 PM,04/02/2020,2122,DRUG STORE / DR. OFFICE / HOSPITAL,1201 W 38TH ST,78705,10,BA,3,344,,C,04/02/2020,,,3113183,3113183,30.30490831,-97.74539945,"(30.30490831, -97.74539945)"
20218002890,BURGLARY OF VEH-NO SUSPECT/FU,601,N,04/14/2021 05:35:00 PM,04/14/2021,1735,04/18/2021 09:15:00 PM,04/18/2021,2115,PARKING LOTS / GARAGE,2400 SAN GABRIEL ST,78705,9,BA,3,356,6,,,23F,Theft,3112511,3112511,30.28833721,-97.74797345,"(30.28833721, -97.74797345)"
20208003473,CRIMINAL MISCHIEF,1400,N,01/23/2020 05:00:00 PM,01/23/2020,1700,08/04/2020 05:11:00 PM,08/04/2020,1711,STREETS / HWY / ROAD / ALLEY,2609 SAN PEDRO ST,78705,9,BA,3,356,6,N,08/10/2020,,,3113179,3113179,30.29163711,-97.74576797,"(30.29163711, -97.74576797)"
20205012920,THEFT OF BICYCLE,609,N,03/30/2020 10:00:00 PM,03/30/2020,2200,03/31/2020 03:30:00 PM,03/31/2020,1530,RESIDENCE / HOME,1302 W 24TH ST,78705,9,BA,3,356,,N,04/01/2020,23H,Theft,3111212,3111212,30.28890944,-97.75207491,"(30.28890944, -97.75207491)"
20202820252,AGG ROBBERY/DEADLY WEAPON,300,N,10/08/2020 06:00:00 AM,10/08/2020,600,10/08/2020 06:17:00 AM,10/08/2020,617,RESIDENCE / HOME,2814 SAN PEDRO ST,78705,9,BA,3,356,6,,,120,Robbery,3113047,3113047,30.29461156,-97.74610658,"(30.29461156, -97.74610658)"
